date,symbol,close,high,low,volume
2026-08-06,AAF.N0000,50.1,51.7,50.0,14464
2026-08-06,AAIC.N0000,81.2,82.9,81.1,179200
2026-08-06,ABAN.N0000,1080.75,1090.0,1062.25,159
2026-08-06,ABL.N0000,26.6,26.7,26.5,12225
2026-08-06,ACL.N0000,95.0,95.6,94.5,290136
2026-08-06,ACME.N0000,4.3,4.4,4.3,104645
2026-08-06,AEL.N0000,75.0,75.3,74.9,59105
2026-08-06,AFS.N0000,28.0,28.0,27.7,3252
2026-08-06,AGAL.N0000,50.0,50.0,49.8,2522
2026-08-06,AGPL.N0000,14.2,14.2,14.1,39864
2026-08-06,AGST.N0000,11.7,12.0,11.0,711933
2026-08-06,AHPL.N0000,47.2,49.0,47.1,2562
2026-08-06,AHUN.N0000,87.9,89.7,87.9,3945
2026-08-06,ALLI.N0000,303.0,306.0,302.5,2601
2026-08-06,ALUM.N0000,16.3,16.4,16.0,60711
2026-08-06,AMSL.N0000,14.0,14.4,14.0,46913
2026-08-06,APLA.N0000,147.75,148.0,147.0,3099
2026-08-06,ASCO.N0000,55.1,56.5,55.0,5739
2026-08-06,ASHO.N0000,2760.5,2949.0,2700.0,602
2026-08-06,ASIR.N0000,33.0,33.9,33.0,246915
2026-08-06,ASIY.N0000,12.2,12.3,11.1,442876
2026-08-06,ASPH.N0000,0.6,0.7,0.5,1905530
2026-08-06,ATL.N0000,20.4,20.5,20.4,217
2026-08-06,ATLL.N0000,22.1,23.7,22.0,743
2026-08-06,AUTO.N0000,277.0,285.0,275.0,671
2026-08-06,BALA.N0000,60.3,62.0,60.1,2140
2026-08-06,BERU.N0000,3.0,3.0,2.9,58690
2026-08-06,BFL.N0000,89.2,89.7,88.7,38409
2026-08-06,BFN.N0000,33.1,34.7,33.1,2515
2026-08-06,BIL.N0000,5.2,5.3,5.1,873846
2026-08-06,BOGA.N0000,137.5,138.0,134.25,16647
2026-08-06,BOPL.N0000,74.0,75.0,70.0,19730
2026-08-06,BPPL.N0000,18.1,19.0,17.9,29199
2026-08-06,BRR.N0000,22.7,22.8,20.8,9260
2026-08-06,BRWN.N0000,138.5,139.0,137.5,16874
2026-08-06,BUKI.N0000,825.0,856.0,825.0,6687
2026-08-06,CABO.N0000,209.0,210.0,198.75,2198
2026-08-06,CALC.U0000,13.0,13.0,12.6,827
2026-08-06,CALF.N0000,131.0,131.75,130.0,157
2026-08-06,CALH.N0000,13.4,13.5,13.2,192844
2026-08-06,CALI.U0000,14.9,14.9,13.3,15
2026-08-06,CALT.N0000,51.0,51.0,50.6,11766
2026-08-06,CALU.U0000,9.6,9.8,9.6,102
2026-08-06,CARE.N0000,40.5,40.5,40.0,2192
2026-08-06,CARG.N0000,679.0,685.0,661.0,147
2026-08-06,CARS.N0000,725.75,744.5,715.0,142
2026-08-06,CBNK.N0000,7.5,7.7,7.5,417668
2026-08-06,CCS.N0000,127.0,128.25,125.0,382384
2026-08-06,CDB.N0000,40.2,41.0,40.0,40566
2026-08-06,CDB.X0000,31.3,31.5,31.2,285003
2026-08-06,CERA.N0000,160.0,175.75,159.25,4679
2026-08-06,CFI.N0000,368.75,380.0,370.5,8
2026-08-06,CFIN.N0000,225.0,227.0,218.0,271092
2026-08-06,CFLB.N0000,58.0,59.8,57.5,2209
2026-08-06,CFVF.N0000,46.9,47.9,46.7,42542
2026-08-06,CHL.N0000,62.3,63.2,62.0,1680
2026-08-06,CHL.X0000,49.6,49.6,48.5,138
2026-08-06,CHMX.N0000,159.25,165.0,159.0,157
2026-08-06,CHOT.N0000,31.6,32.3,30.6,3002
2026-08-06,CIC.N0000,29.8,30.0,29.3,195593
2026-08-06,CIC.X0000,24.5,25.4,24.1,324146
2026-08-06,CIND.N0000,209.0,210.0,209.0,3186
2026-08-06,CINS.X0000,1500.0,1554.0,1500.25,20
2026-08-06,CINV.N0000,101.25,104.0,101.0,2989
